"year","month","day","td_ge","dt","luna_num","saros","eclipse_type","gamma","magnitude","lat_ge","lng_ge","lat_dd_ge","lng_dd_ge","sun_alt","sun_azm","path_width","central_duration","duration_secs","cat_no","canon_plate","julian_date","t0","x0","x1","x2","x3","y0","y1","y2","y3","d0","d1","d2","mu0","mu1","mu2","l10","l11","l12","l20","l21","l22","tan_f1","tan_f2","tmin","tmax","etype","PNS","UNS","NCN","nSer","nSeq","nJLE"
1915,8,10,"22:52:25",17.80000000,-1044,134,"A",.01237000,.98528000,"16.4N","161.4W",16.44300000,-161.41284000,89.20000000,200.50000000,52.10000000,"01m33s",93.10000000,9316.00000000,466.00000000,2420720.45300000,23.00000000,.06641200,.48624330,-.00002540,-.00000615,-.01521100,-.21007550,-.00009230,.00000282,15.68648000,-.01162500,-.00000300,163.67793000,15.00271000,.00000000,.55483700,-.00011160,-.00001060,.00865600,-.00011100,-.00001050,.00461360,.00459060,-3.00000000,3.00000000,2,0,0,0,71,38,44
1916,2,3,"16:00:21",18.30000000,-1038,139,"T",.49874000,1.02800000,"11.1N","67.7W",11.12317000,-67.66077000,60.00000000,158.30000000,108.40000000,"02m36s",156.20000000,9317.00000000,466.00000000,2420897.16700000,16.00000000,-.19240900,.52865410,-.00004620,-.00000840,.46014500,.21682120,.00008030,-.00000363,-16.77721000,.01156300,.00000400,56.52851000,15.00012000,.00000000,.54277400,.00008340,-.00001260,-.00334700,.00008300,-.00001250,.00474320,.00471960,-3.00000000,3.00000000,1,1,0,0,71,24,20
1916,7,30,"02:06:10",18.90000000,-1032,144,"A",-.77095000,.94470000,"29.0S","132.4E",-29.03274000,132.41199000,39.40000000,21.90000000,313.30000000,"06m24s",384.20000000,9318.00000000,466.00000000,2421074.58800000,2.00000000,-.31491900,.47606330,-.00002140,-.00000533,-.70562600,-.17493400,-.00007820,.00000210,18.64487100,-.00955200,-.00000400,208.43053000,15.00155000,.00000000,.56513600,-.00003280,-.00000970,.01890400,-.00003270,-.00000970,.00460660,.00458370,-3.00000000,3.00000000,2,-1,0,0,70,11,20
1916,12,24,"20:46:22",19.30000000,-1027,111,"P",-1.53213000,.01143000,"65.7S","32.1E",-65.71030000,32.11346000,.00000000,194.90000000,.00000000,"00m00s",.00000000,9319.00000000,466.00000000,2421222.36600000,21.00000000,.30738500,.57314970,-.00002730,-.00000945,-1.50668800,.06681180,.00026270,-.00000122,-23.41824900,.00072300,.00000600,135.04095000,14.99634000,.00000000,.54102600,-.00007060,-.00001290,-.00508600,-.00007020,-.00001280,.00475400,.00473040,-3.00000000,3.00000000,4,-1,-1,-1,79,78,1
1917,1,23,"07:28:31",19.30000000,-1026,149,"P",1.15085000,.72541000,"63.2N","25.6E",63.18360000,25.61804000,.00000000,137.90000000,.00000000,"00m00s",.00000000,9320.00000000,466.00000000,2421251.81100000,7.00000000,-.63164000,.55173360,-.00000940,-.00000931,1.00110300,.18689270,.00007870,-.00000334,-19.56147000,.00921800,.00000500,282.02805000,14.99872000,.00000000,.53818900,-.00000190,-.00001310,-.00790900,-.00000190,-.00001310,.00474950,.00472580,-3.00000000,3.00000000,4,1,1,1,71,15,10
1917,6,19,"13:16:21",19.70000000,-1021,116,"P",1.28567000,.47293000,"66.2N","150.1E",66.17088000,150.06195000,.00000000,349.80000000,.00000000,"00m00s",.00000000,9321.00000000,467.00000000,2421399.05300000,13.00000000,-.04158500,.52221210,-.00002550,-.00000646,1.29287510,-.04089500,-.00020790,.00000063,23.42629100,.00080600,-.00000500,14.74871000,14.99909000,.00000000,.55703400,.00010520,-.00001030,.01084200,.00010460,-.00001030,.00460140,.00457850,-3.00000000,3.00000000,4,1,1,1,70,67,1
1917,7,19,"02:42:42",19.80000000,-1020,154,"Pb",-1.51012000,.08625000,"63.7S","101.8E",-63.67129000,101.79346000,.00000000,36.10000000,.00000000,"00m00s",.00000000,9322.00000000,467.00000000,2421428.61300000,3.00000000,-.28156600,.49061800,-.00003340,-.00000563,-1.49094100,-.14320530,-.00006270,.00000176,20.98802000,-.00705100,-.00000500,223.49307000,15.00047000,.00000000,.56279900,.00005950,-.00000990,.01657800,.00005920,-.00000980,.00460170,.00457880,-3.00000000,3.00000000,4,-1,-1,-1,71,1,10
1917,12,14,"09:27:20",20.10000000,-1015,121,"A",-.91567000,.97913000,"88.0S","124.7E",-88.04771000,124.70831000,23.30000000,271.30000000,188.70000000,"01m17s",76.50000000,9323.00000000,467.00000000,2421576.89400000,9.00000000,-.21515100,.54732010,.00002070,-.00000773,-.92429700,.02023850,.00021180,-.00000037,-23.19512000,-.00266100,.00000600,316.36514000,14.99650000,.00000000,.55391000,-.00010910,-.00001160,.00773300,-.00010860,-.00001150,.00475090,.00472730,-3.00000000,3.00000000,2,-1,0,0,71,55,1
1918,6,8,"22:07:43",20.50000000,-1009,126,"T",.46583000,1.02920000,"50.9N","152.0W",50.85159000,-152.03168000,62.00000000,180.20000000,112.00000000,"02m23s",142.70000000,9324.00000000,467.00000000,2421753.42200000,22.00000000,-.07025600,.55635860,-.00001370,-.00000821,.46602600,-.00155220,-.00018200,.00000014,22.83832000,.00379600,-.00000500,150.30817000,14.99946000,.00000000,.54240300,.00011600,-.00001160,-.00371600,.00011540,-.00001160,.00460560,.00458260,-3.00000000,3.00000000,1,1,0,0,72,42,2
1918,12,3,"15:22:02",20.70000000,-1003,131,"A",-.23873000,.93826000,"36.1S","53.7W",-36.05133000,-53.69922000,76.00000000,2.70000000,236.40000000,"07m06s",425.70000000,9325.00000000,467.00000000,2421931.14000000,15.00000000,-.19904800,.51493740,.00002630,-.00000611,-.23056600,-.02173240,.00015560,.00000018,-22.05195000,-.00596000,.00000600,47.57164000,14.99728000,.00000000,.56883300,-.00007880,-.00001030,.02258200,-.00007840,-.00001030,.00474490,.00472130,-3.00000000,3.00000000,2,0,0,0,70,45,4
